Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Year,Month,Log_Sales,z_score,iso_anomaly,lof_anomaly,knn_distance
11,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,2015,6,7.442014576866447,2.023724722406096,-1,1,0.03170377734485186
16,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016,11,0.9337376454778757,-1.930438096986037,-1,1,0.030962225603966886
28,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016,9,8.033797892698269,2.3832680561129376,-1,1,0.085884074442653
62,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,2017,6,0.5187937934151675,-2.182541006751379,-1,1,0.06899287148695155
76,US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,2018,12,0.22154226994723591,-2.363138872284091,-1,1,0.12062798778861467
102,CA-2017-158568,2017-08-29,2017-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610.0,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,2017,8,0.5810976767513224,-2.1446877159973536,-1,1,0.05653679387836408
127,US-2018-107272,2018-11-05,2018-11-12,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023.0,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2018,11,0.8704561955303556,-1.9688853172223038,-1,1,0.03780236464653519
137,CA-2017-145583,2017-10-13,2017-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661.0,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2017,10,1.3912819026309295,-1.652452923808258,-1,1,0.02699550434201181
150,CA-2017-114489,2017-12-05,2017-12-09,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,2017,12,7.576527796400428,2.105449451855265,-1,1,0.026332744847816336
166,CA-2015-139892,2015-09-08,2015-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,2015,9,9.00699356558791,2.9745419349447197,-1,-1,0.5306257020308163
